"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"68","1982","5","Karnataka","Mandya","0.0","0.0","1.24","24.39","82.8","45.32","24.92","36.68","60.18","102.43","39.67","1.49"
"68","1983","5","Karnataka","Mandya","0.02","0.0","0.04","3.55","92.18","84.49","58.03","62.36","104.68","99.17","15.36","42.43"
"68","1984","5","Karnataka","Mandya","0.65","9.79","33.15","48.3","64.54","33.61","62.02","20.03","122.33","133.9","17.96","13.63"
"68","1985","5","Karnataka","Mandya","8.12","1.84","12.35","24.05","126.95","31.24","42.22","38.0","68.36","110.85","52.85","5.64"
"68","1986","5","Karnataka","Mandya","10.55","5.96","0.93","13.47","183.06","47.32","34.01","35.41","192.79","103.63","83.5","6.69"
"68","1987","5","Karnataka","Mandya","0.2","0.09","9.39","43.89","80.08","39.48","28.18","53.05","64.62","190.68","23.94","39.17"
"68","1988","5","Karnataka","Mandya","0.0","0.02","2.68","95.51","123.11","25.07","94.24","83.83","187.54","26.32","27.13","13.87"
"68","1989","5","Karnataka","Mandya","0.11","0.0","5.95","26.98","70.2","30.29","80.39","27.88","121.02","207.31","15.17","2.96"
"68","1990","5","Karnataka","Mandya","2.61","0.22","2.67","21.86","124.69","25.38","35.72","37.23","55.17","133.59","35.84","5.21"
"68","1991","5","Karnataka","Mandya","0.56","1.77","1.03","65.58","213.81","74.87","45.74","52.02","73.3","237.05","91.84","0.65"
"68","1992","5","Karnataka","Mandya","0.2","0.0","0.0","25.43","80.63","57.56","51.51","45.3","89.57","157.94","59.36","2.01"
"68","1993","5","Karnataka","Mandya","0.0","0.14","8.99","33.79","88.68","52.86","47.33","40.19","76.3","194.63","43.15","35.64"
"68","1994","5","Karnataka","Mandya","0.04","1.09","4.94","62.43","189.03","69.83","41.93","33.85","56.21","225.9","31.08","4.83"
"68","1995","5","Karnataka","Mandya","8.3","0.07","6.79","45.05","102.94","46.06","56.56","79.28","102.25","136.32","18.5","0.05"
